survey_id,registration_id,satisfaction_score,usefulness_score,instructor_score,recommendation_score,overall_score,NPS_bucket,survey_comments,survey_submission_date
389,538,4,5,4,5,4.5,Promoter,"I didn't expect this, but, the robot build during Data Science Study Group really clicked for me, the hands-on segment tied everything together; This pushed me to apply for a related program. Surprisingly, the hands-on segment tied everything together, the data activity during Data Science Study Group really clicked for me. If I'm being honest, it boosted my confidence more than I expected, the web dev sprint during Data Science Study Group really clicked for me; I'd definitely recommend this to a friend!",4/19/24 3:19
390,539,5,4,4,5,4.5,Promoter,"The gallery walk during Intro to Painting Class really clicked for me, the mentors were down-to-earth and answered real questions (snacks were a plus)! The color theory lesson during Intro to Painting Class really clicked for me, it boosted my confidence more than I expected.",10/28/22 12:11
391,540,4,4,5,5,4.5,Promoter,"To be fair, the data activity during Robotics Lab Saturday really clicked for me, I met people who want to collaborate on projects; I left energized to keep learning. The organizers ran things smoothly even with a big crowd, the web dev sprint during Robotics Lab Saturday really clicked for me; I left energized to keep learning. In my opinion, the organizers ran things smoothly even with a big crowd, the coding challenges during Robotics Lab Saturday really clicked for me; This was absolutely worth the time.",7/20/24 11:19
392,541,5,4,5,4,4.5,Passive,"The pacing made complex ideas feel doable, the panel Q&A during Mentor Office Hours really clicked for me; This pushed me to apply for a related program. The organizers ran things smoothly even with a big crowd, the mentor roundtable during Mentor Office Hours really clicked for me; This was absolutely worth the time.",2/8/22 5:15
393,543,5,5,4,4,4.5,Passive,"From my perspective, the networking breakouts during Mentor Office Hours really clicked for me, I left with actionable next steps; This pushed me to apply for a related program. — which surprised me in a good way. I didn't expect this, but, the hands-on segment tied everything together, the goal-setting exercise during Mentor Office Hours really clicked for me. The panel Q&A during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd; I'd come again and bring a classmate next time.",8/21/22 20:29
394,544,4,4,4,4,4,Passive,"At first, it boosted my confidence more than I expected, the color theory lesson during Intro to Painting Class really clicked for me — especially for beginners. The watercolor session during Intro to Painting Class really clicked for me, there were concrete examples I can reuse at school. To be fair, the sketch warmups during Intro to Painting Class really clicked for me, the pacing made complex ideas feel doable.",3/14/25 0:23
395,545,5,3,5,5,4.5,Promoter,"To be fair, the robot build during Web Dev Bootcamp Night really clicked for me, the mentors were down-to-earth and answered real questions! The coding challenges during Web Dev Bootcamp Night really clicked for me, the hands-on segment tied everything together; This pushed me to apply for a related program.",12/29/23 12:29
396,546,5,4,5,4,4.5,Passive,"The resume clinic during Girls in STEAM Mentoring really clicked for me, I met people who want to collaborate on projects. If I'm being honest, the mentor roundtable during Girls in STEAM Mentoring really clicked for me, I left with actionable next steps. The hands-on segment tied everything together, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me; This was absolutely worth the time!",12/29/21 17:05
397,547,5,5,5,5,5,Promoter,"From my perspective, the pacing made complex ideas feel doable, the goal-setting exercise during Mentor Office Hours really clicked for me; This was absolutely worth the time. I left with actionable next steps, the panel Q&A during Mentor Office Hours really clicked for me.",5/19/25 4:22
398,548,5,4,4,5,4.5,Promoter,"Honestly, there were concrete examples I can reuse at school, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me; This was absolutely worth the time. In my opinion, I left with actionable next steps, the panel Q&A during Girls in STEAM Mentoring really clicked for me.",12/13/22 23:15
399,549,5,3,5,5,4.5,Promoter,"The data activity during Monthly Coding Club really clicked for me, I left with actionable next steps; I'd come again and bring a classmate next time. The robot build during Monthly Coding Club really clicked for me, the pacing made complex ideas feel doable. The pacing made complex ideas feel doable, the Python lab during Monthly Coding Club really clicked for me; This was absolutely worth the time!",4/16/23 18:10
400,550,5,4,3,5,4.25,Promoter,"I didn't expect this, but, the data activity during Robotics Lab Saturday really clicked for me, the mentors were down-to-earth and answered real questions! Surprisingly, the mentors were down-to-earth and answered real questions, the robot build during Robotics Lab Saturday really clicked for me; I might recommend it depending on the topic. The organizers ran things smoothly even with a big crowd, the coding challenges during Robotics Lab Saturday really clicked for me; I'm curious to see how the next session improves.",2/25/23 21:05
401,551,4,5,4,5,4.5,Promoter,"I didn't expect this, but, it boosted my confidence more than I expected, the goal-setting exercise during Mentor Office Hours really clicked for me — next time I'd bring a friend. The goal-setting exercise during Mentor Office Hours really clicked for me, I left with actionable next steps — which surprised me in a good way.",11/25/24 22:15
402,552,4,4,5,4,4.25,Passive,"In my opinion, I met people who want to collaborate on projects, the coding challenges during Robotics Lab Saturday really clicked for me — which surprised me in a good way. The data activity during Robotics Lab Saturday really clicked for me, the organizers ran things smoothly even with a big crowd; I might recommend it depending on the topic. The Python lab during Robotics Lab Saturday really clicked for me, there were concrete examples I can reuse at school — next time I'd bring a friend!",4/21/24 1:00
403,553,4,5,5,5,4.75,Promoter,"The robot build during Robotics Lab Saturday really clicked for me, the mentors were down-to-earth and answered real questions; I left energized to keep learning. The Arduino demo during Robotics Lab Saturday really clicked for me, the mentors were down-to-earth and answered real questions — which surprised me in a good way.",5/19/24 18:22
404,554,5,4,3,5,4.25,Promoter,"The goal-setting exercise during Leadership Circle Meetup really clicked for me, it boosted my confidence more than I expected; I'm curious to see how the next session improves. There were concrete examples I can reuse at school, the mentor roundtable during Leadership Circle Meetup really clicked for me (wish there had been more time). The mentors were down-to-earth and answered real questions, the resume clinic during Leadership Circle Meetup really clicked for me (wish there had been more time).",7/16/25 14:06
405,555,3,5,3,4,3.75,Passive,"From my perspective, not every topic applied to me, but I took notes for later, and the watercolor session was helpful during Intro to Painting Class. It was useful overall. The room was a bit crowded, yet the content landed, and the gallery walk was helpful during Intro to Painting Class. It was useful overall. Some sections moved quickly but were still useful, and the sketch warmups was helpful during Intro to Painting Class. I'm curious to see how the next session improves!",11/9/23 21:03
406,556,4,4,5,4,4.25,Passive,"From my perspective, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me, I left with actionable next steps (wish there had been more time). At first, the pacing made complex ideas feel doable, the panel Q&A during Girls in STEAM Mentoring really clicked for me; I'm curious to see how the next session improves.",7/7/22 5:14
407,557,4,4,4,4,4,Passive,"The pacing made complex ideas feel doable, the robot build during Robotics Lab Saturday really clicked for me; I'm curious to see how the next session improves. The coding challenges during Robotics Lab Saturday really clicked for me, the organizers ran things smoothly even with a big crowd.",1/21/24 9:03
408,558,4,5,5,5,4.75,Promoter,"The web dev sprint during Web Dev Bootcamp Night really clicked for me, there were concrete examples I can reuse at school; I'd come again and bring a classmate next time. If I'm being honest, the Arduino demo during Web Dev Bootcamp Night really clicked for me, the mentors were down-to-earth and answered real questions.",9/13/24 15:19
409,559,4,4,4,4,4,Passive,"The mentors were down-to-earth and answered real questions, the robot build during Data Science Study Group really clicked for me. I met people who want to collaborate on projects, the robot build during Data Science Study Group really clicked for me. The web dev sprint during Data Science Study Group really clicked for me, the organizers ran things smoothly even with a big crowd.",9/20/24 8:19
410,560,5,4,5,4,4.5,Passive,"The coding challenges during Robotics Lab Saturday really clicked for me, there were concrete examples I can reuse at school; I'd come again and bring a classmate next time. To be fair, the coding challenges during Robotics Lab Saturday really clicked for me, there were concrete examples I can reuse at school; I'd definitely recommend this to a friend. The robot build during Robotics Lab Saturday really clicked for me, the mentors were down-to-earth and answered real questions; This pushed me to apply for a related program.",10/23/23 1:02
411,562,4,4,5,4,4.25,Passive,"The data activity during Data Science Study Group really clicked for me, I met people who want to collaborate on projects; I'm curious to see how the next session improves. It boosted my confidence more than I expected, the data activity during Data Science Study Group really clicked for me; I'm curious to see how the next session improves.",1/31/24 20:28
412,563,4,5,5,3,4.25,Detractor,"I met people who want to collaborate on projects, the gallery walk during Intro to Painting Class really clicked for me; I might recommend it depending on the topic. The mentors were down-to-earth and answered real questions, the sketch warmups during Intro to Painting Class really clicked for me; I'm curious to see how the next session improves.",12/30/22 20:11
413,564,4,4,5,5,4.5,Promoter,"Surprisingly, the coding challenges during Monthly Coding Club really clicked for me, the hands-on segment tied everything together; This pushed me to apply for a related program. (snacks were a plus). Overall, it boosted my confidence more than I expected, the web dev sprint during Monthly Coding Club really clicked for me — next time I'd bring a friend. There were concrete examples I can reuse at school, the Python lab during Monthly Coding Club really clicked for me; I'd definitely recommend this to a friend!",1/16/22 0:00
414,565,5,4,4,4,4.25,Passive,"In my opinion, it boosted my confidence more than I expected, the Arduino demo during Robotics Lab Saturday really clicked for me.",1/16/22 18:08
415,566,5,5,5,5,5,Promoter,"I met people who want to collaborate on projects, the resume clinic during Leadership Circle Meetup really clicked for me; I'd definitely recommend this to a friend. — especially for beginners. The resume clinic during Leadership Circle Meetup really clicked for me, the hands-on segment tied everything together — which surprised me in a good way. Honestly, the panel Q&A during Leadership Circle Meetup really clicked for me, I met people who want to collaborate on projects!",11/16/25 6:26
416,568,5,4,4,4,4.25,Passive,"If I'm being honest, the hands-on segment tied everything together, the color theory lesson during Intro to Painting Class really clicked for me; I might recommend it depending on the topic. I didn't expect this, but, the watercolor session during Intro to Painting Class really clicked for me, I left with actionable next steps.",5/6/22 8:23
417,571,5,5,4,4,4.5,Passive,"At first, the panel Q&A during Girls in STEAM Mentoring really clicked for me, the organizers ran things smoothly even with a big crowd — which surprised me in a good way! The resume clinic during Girls in STEAM Mentoring really clicked for me, the hands-on segment tied everything together. Surprisingly, I left with actionable next steps, the mentor roundtable during Girls in STEAM Mentoring really clicked for me (wish there had been more time).",3/21/24 6:29
418,572,5,4,4,5,4.5,Promoter,"The Python lab during Web Dev Bootcamp Night really clicked for me, the mentors were down-to-earth and answered real questions! From my perspective, the robot build during Web Dev Bootcamp Night really clicked for me, I left with actionable next steps.",9/22/24 2:17
419,573,4,5,4,5,4.5,Promoter,"The organizers ran things smoothly even with a big crowd, the panel Q&A during Mentor Office Hours really clicked for me. The mentors were down-to-earth and answered real questions, the panel Q&A during Mentor Office Hours really clicked for me.",1/14/25 1:20
420,575,5,4,4,4,4.25,Passive,"From my perspective, I met people who want to collaborate on projects, the goal-setting exercise during Mentor Office Hours really clicked for me; I'd attend again with a clearer agenda. Surprisingly, the goal-setting exercise during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected. The networking breakouts during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected.",9/22/25 20:18
421,576,5,4,5,5,4.75,Promoter,"It boosted my confidence more than I expected, the mentor roundtable during Mentor Office Hours really clicked for me. Honestly, the networking breakouts during Mentor Office Hours really clicked for me, I met people who want to collaborate on projects. I didn't expect this, but, it boosted my confidence more than I expected, the goal-setting exercise during Mentor Office Hours really clicked for me; I'd come again and bring a classmate next time. — which surprised me in a good way!",3/21/22 8:03
422,577,5,4,5,5,4.75,Promoter,"In my opinion, it boosted my confidence more than I expected, the coding challenges during Web Dev Bootcamp Night really clicked for me; I'd definitely recommend this to a friend! At first, there were concrete examples I can reuse at school, the Arduino demo during Web Dev Bootcamp Night really clicked for me. At first, the mentors were down-to-earth and answered real questions, the web dev sprint during Web Dev Bootcamp Night really clicked for me.",6/29/25 7:06
423,578,4,4,5,5,4.5,Promoter,"The resume clinic during Girls in STEAM Mentoring really clicked for me, the organizers ran things smoothly even with a big crowd; I left energized to keep learning. The resume clinic during Girls in STEAM Mentoring really clicked for me, the organizers ran things smoothly even with a big crowd; I'd come again and bring a classmate next time. I didn't expect this, but, the networking breakouts during Girls in STEAM Mentoring really clicked for me, there were concrete examples I can reuse at school; I'd come again and bring a classmate next time.",7/17/24 10:05
424,579,5,4,5,4,4.5,Passive,"The pacing made complex ideas feel doable, the resume clinic during Girls in STEAM Mentoring really clicked for me — especially for beginners. To be fair, the pacing made complex ideas feel doable, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me. There were concrete examples I can reuse at school, the resume clinic during Girls in STEAM Mentoring really clicked for me; This was absolutely worth the time.",8/19/25 15:18
425,580,4,4,4,4,4,Passive,"In my opinion, the color theory lesson during Intro to Painting Class really clicked for me, I met people who want to collaborate on projects; I might recommend it depending on the topic. Overall, the pacing made complex ideas feel doable, the mixed-media project during Intro to Painting Class really clicked for me.",1/3/25 15:04
426,581,5,5,4,4,4.5,Passive,"At first, there were concrete examples I can reuse at school, the sketch warmups during Intro to Painting Class really clicked for me; This pushed me to apply for a related program. — next time I'd bring a friend. The color theory lesson during Intro to Painting Class really clicked for me, the hands-on segment tied everything together.",8/4/23 13:16
427,582,5,4,5,4,4.5,Passive,"The pacing made complex ideas feel doable, the panel Q&A during Mentor Office Hours really clicked for me; This pushed me to apply for a related program. The panel Q&A during Mentor Office Hours really clicked for me, the pacing made complex ideas feel doable; This pushed me to apply for a related program! I met people who want to collaborate on projects, the goal-setting exercise during Mentor Office Hours really clicked for me.",12/27/21 0:20
428,583,5,4,5,4,4.5,Passive,"It boosted my confidence more than I expected, the robot build during Web Dev Bootcamp Night really clicked for me; This was absolutely worth the time. From my perspective, it boosted my confidence more than I expected, the Python lab during Web Dev Bootcamp Night really clicked for me; I'd come again and bring a classmate next time. — especially for beginners. The mentors were down-to-earth and answered real questions, the Arduino demo during Web Dev Bootcamp Night really clicked for me.",5/28/23 7:12
429,584,5,5,5,5,5,Promoter,"In my opinion, there were concrete examples I can reuse at school, the Arduino demo during Robotics Lab Saturday really clicked for me. I didn't expect this, but, the robot build during Robotics Lab Saturday really clicked for me, I left with actionable next steps; I'd definitely recommend this to a friend. — especially for beginners. The Arduino demo during Robotics Lab Saturday really clicked for me, I left with actionable next steps; This was absolutely worth the time.",3/31/24 7:18
430,585,4,4,5,4,4.25,Passive,"The hands-on segment tied everything together, the panel Q&A during Mentor Office Hours really clicked for me; I might recommend it depending on the topic. — next time I'd bring a friend. The hands-on segment tied everything together, the mentor roundtable during Mentor Office Hours really clicked for me — especially for beginners.",10/31/22 4:27
431,586,4,4,4,4,4,Passive,"If I'm being honest, it boosted my confidence more than I expected, the data activity during Data Science Study Group really clicked for me; I'm curious to see how the next session improves. I met people who want to collaborate on projects, the robot build during Data Science Study Group really clicked for me; I'm curious to see how the next session improves.",12/19/24 23:19
432,587,4,4,5,5,4.5,Promoter,"Surprisingly, the coding challenges during Robotics Lab Saturday really clicked for me, the pacing made complex ideas feel doable; I'd definitely recommend this to a friend. — next time I'd bring a friend. Surprisingly, the Python lab during Robotics Lab Saturday really clicked for me, the pacing made complex ideas feel doable (wish there had been more time). The organizers ran things smoothly even with a big crowd, the robot build during Robotics Lab Saturday really clicked for me; I'd definitely recommend this to a friend. I left with actionable next steps, the robot build during Robotics Lab Saturday really clicked for me.",1/20/25 7:25
433,589,5,4,4,5,4.5,Promoter,"The mentors were down-to-earth and answered real questions, the data activity during Robotics Lab Saturday really clicked for me. The coding challenges during Robotics Lab Saturday really clicked for me, the pacing made complex ideas feel doable; I'd definitely recommend this to a friend. (wish there had been more time). By the end, the Arduino demo during Robotics Lab Saturday really clicked for me, the hands-on segment tied everything together; This pushed me to apply for a related program.",4/30/22 19:21
434,590,4,5,5,5,4.75,Promoter,"I didn't expect this, but, the data activity during Robotics Lab Saturday really clicked for me, the hands-on segment tied everything together; This was absolutely worth the time. By the end, the hands-on segment tied everything together, the robot build during Robotics Lab Saturday really clicked for me.",6/30/25 3:06
435,591,5,4,5,4,4.5,Passive,"If I'm being honest, there were concrete examples I can reuse at school, the sketch warmups during Intro to Painting Class really clicked for me (snacks were a plus)! It boosted my confidence more than I expected, the sketch warmups during Intro to Painting Class really clicked for me — next time I'd bring a friend.",12/21/24 8:00
436,592,5,5,5,4,4.75,Passive,"The sketch warmups during Intro to Painting Class really clicked for me, the hands-on segment tied everything together. To be fair, the organizers ran things smoothly even with a big crowd, the sketch warmups during Intro to Painting Class really clicked for me. The organizers ran things smoothly even with a big crowd, the gallery walk during Intro to Painting Class really clicked for me; I'd definitely recommend this to a friend!",12/9/22 2:07
437,594,4,5,4,5,4.5,Promoter,"I left with actionable next steps, the mentor roundtable during Mentor Office Hours really clicked for me! Surprisingly, the networking breakouts during Mentor Office Hours really clicked for me, I left with actionable next steps; I left energized to keep learning! The networking breakouts during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected — which surprised me in a good way.",2/21/22 23:19
438,595,4,4,4,4,4,Passive,"The hands-on segment tied everything together, the goal-setting exercise during Mentor Office Hours really clicked for me; It was useful overall. The resume clinic during Mentor Office Hours really clicked for me, the hands-on segment tied everything together.",3/20/22 12:04
439,597,5,4,4,4,4.25,Passive,"The mentors were down-to-earth and answered real questions, the resume clinic during Mentor Office Hours really clicked for me; It was useful overall. Overall, I left with actionable next steps, the networking breakouts during Mentor Office Hours really clicked for me.",10/6/25 19:00
440,598,4,4,4,4,4,Passive,"From my perspective, the resume clinic during Girls in STEAM Mentoring really clicked for me, there were concrete examples I can reuse at school; I'm curious to see how the next session improves. (wish there had been more time). From my perspective, the mentor roundtable during Girls in STEAM Mentoring really clicked for me, I left with actionable next steps; It was useful overall! The resume clinic during Girls in STEAM Mentoring really clicked for me, the hands-on segment tied everything together.",10/23/24 11:02
441,599,5,4,4,4,4.25,Passive,"It boosted my confidence more than I expected, the networking breakouts during Leadership Circle Meetup really clicked for me. It boosted my confidence more than I expected, the networking breakouts during Leadership Circle Meetup really clicked for me. The goal-setting exercise during Leadership Circle Meetup really clicked for me, it boosted my confidence more than I expected; I'm curious to see how the next session improves.",2/17/24 2:01
442,600,4,4,5,5,4.5,Promoter,"There were concrete examples I can reuse at school, the coding challenges during Web Dev Bootcamp Night really clicked for me; I'd come again and bring a classmate next time. At first, I left with actionable next steps, the data activity during Web Dev Bootcamp Night really clicked for me; This pushed me to apply for a related program. (wish there had been more time)! The coding challenges during Web Dev Bootcamp Night really clicked for me, I left with actionable next steps; This pushed me to apply for a related program.",4/7/23 16:16
443,601,4,5,3,5,4.25,Promoter,"Overall, the goal-setting exercise during Mentor Office Hours really clicked for me, the mentors were down-to-earth and answered real questions. The pacing made complex ideas feel doable, the mentor roundtable during Mentor Office Hours really clicked for me; It was useful overall.",3/10/25 16:14
444,602,5,5,4,4,4.5,Passive,"By the end, the web dev sprint during Web Dev Bootcamp Night really clicked for me, I left with actionable next steps; This pushed me to apply for a related program. I didn't expect this, but, I met people who want to collaborate on projects, the robot build during Web Dev Bootcamp Night really clicked for me (wish there had been more time).",10/7/22 15:21
445,603,5,3,5,4,4.25,Passive,"The goal-setting exercise during Mentor Office Hours really clicked for me, the pacing made complex ideas feel doable! The resume clinic during Mentor Office Hours really clicked for me, the mentors were down-to-earth and answered real questions — which surprised me in a good way.",1/22/24 11:10
446,604,4,5,4,5,4.5,Promoter,"In my opinion, there were concrete examples I can reuse at school, the mixed-media project during Intro to Painting Class really clicked for me — especially for beginners. The pacing made complex ideas feel doable, the mixed-media project during Intro to Painting Class really clicked for me; This was absolutely worth the time. (snacks were a plus).",11/29/24 4:16
447,605,5,5,5,4,4.75,Passive,"Overall, the hands-on segment tied everything together, the resume clinic during Leadership Circle Meetup really clicked for me! At first, the goal-setting exercise during Leadership Circle Meetup really clicked for me, it boosted my confidence more than I expected — next time I'd bring a friend.",2/16/22 10:03
448,607,4,5,5,4,4.5,Passive,"The pacing made complex ideas feel doable, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me; This pushed me to apply for a related program. Honestly, the panel Q&A during Girls in STEAM Mentoring really clicked for me, the organizers ran things smoothly even with a big crowd!",6/7/23 17:24
449,609,4,4,5,5,4.5,Promoter,"Surprisingly, the Python lab during Robotics Lab Saturday really clicked for me, there were concrete examples I can reuse at school! The Arduino demo during Robotics Lab Saturday really clicked for me, the mentors were down-to-earth and answered real questions! The web dev sprint during Robotics Lab Saturday really clicked for me, I met people who want to collaborate on projects.",7/2/23 1:11
450,610,5,4,4,4,4.25,Passive,"The coding challenges during Robotics Lab Saturday really clicked for me, I left with actionable next steps; I'd attend again with a clearer agenda. Honestly, the Python lab during Robotics Lab Saturday really clicked for me, the hands-on segment tied everything together (wish there had been more time). The Python lab during Robotics Lab Saturday really clicked for me, the mentors were down-to-earth and answered real questions; It was useful overall.",6/16/24 7:26
451,611,4,3,4,3,3.5,Detractor,"From my perspective, not every topic applied to me, but I took notes for later, and the Arduino demo was helpful during Data Science Study Group! To be fair, not every topic applied to me, but I took notes for later, and the coding challenges was helpful during Data Science Study Group! By the end, I knew parts of it already, but I still learned something, and the web dev sprint was helpful during Data Science Study Group!",7/14/23 2:10
452,612,3,5,4,4,4,Passive,"To be fair, the mixed-media project during Intro to Painting Class really clicked for me, it boosted my confidence more than I expected. I didn't expect this, but, the mixed-media project during Intro to Painting Class really clicked for me, there were concrete examples I can reuse at school — next time I'd bring a friend.",3/31/23 22:02
453,613,5,5,4,4,4.5,Passive,"I didn't expect this, but, it boosted my confidence more than I expected, the Python lab during Robotics Lab Saturday really clicked for me; I'd come again and bring a classmate next time! The data activity during Robotics Lab Saturday really clicked for me, the hands-on segment tied everything together; This pushed me to apply for a related program. The data activity during Robotics Lab Saturday really clicked for me, I left with actionable next steps; I left energized to keep learning.",6/19/22 4:19
454,614,5,4,4,5,4.5,Promoter,"The mentor roundtable during Girls in STEAM Mentoring really clicked for me, the pacing made complex ideas feel doable (snacks were a plus). Honestly, the organizers ran things smoothly even with a big crowd, the networking breakouts during Girls in STEAM Mentoring really clicked for me; This pushed me to apply for a related program.",3/19/25 18:06
455,615,4,3,5,5,4.25,Promoter,"The pacing made complex ideas feel doable, the coding challenges during Robotics Lab Saturday really clicked for me; I'm curious to see how the next session improves. The mentors were down-to-earth and answered real questions, the Arduino demo during Robotics Lab Saturday really clicked for me; I'm curious to see how the next session improves. I didn't expect this, but, the coding challenges during Robotics Lab Saturday really clicked for me, the mentors were down-to-earth and answered real questions.",6/26/23 1:20
456,618,4,5,5,4,4.5,Passive,"The mentor roundtable during Girls in STEAM Mentoring really clicked for me, the pacing made complex ideas feel doable — next time I'd bring a friend. To be fair, the hands-on segment tied everything together, the mentor roundtable during Girls in STEAM Mentoring really clicked for me; I left energized to keep learning. The networking breakouts during Girls in STEAM Mentoring really clicked for me, it boosted my confidence more than I expected; This pushed me to apply for a related program.",3/2/23 4:13
457,619,4,4,5,5,4.5,Promoter,"To be fair, the networking breakouts during Girls in STEAM Mentoring really clicked for me, there were concrete examples I can reuse at school. The goal-setting exercise during Girls in STEAM Mentoring really clicked for me, there were concrete examples I can reuse at school.",12/9/21 1:14
458,620,3,5,4,5,4.25,Promoter,"By the end, the hands-on segment tied everything together, the resume clinic during Leadership Circle Meetup really clicked for me. The organizers ran things smoothly even with a big crowd, the panel Q&A during Leadership Circle Meetup really clicked for me; It was useful overall.",7/16/23 5:22
459,621,4,4,5,4,4.25,Passive,"The pacing made complex ideas feel doable, the panel Q&A during Girls in STEAM Mentoring really clicked for me. At first, the pacing made complex ideas feel doable, the panel Q&A during Girls in STEAM Mentoring really clicked for me. It boosted my confidence more than I expected, the panel Q&A during Girls in STEAM Mentoring really clicked for me.",8/15/23 23:08
460,622,5,5,4,3,4.25,Detractor,"It boosted my confidence more than I expected, the networking breakouts during Mentor Office Hours really clicked for me; I'm curious to see how the next session improves. — which surprised me in a good way. At first, the mentor roundtable during Mentor Office Hours really clicked for me, I left with actionable next steps. The mentor roundtable during Mentor Office Hours really clicked for me, I met people who want to collaborate on projects; It was useful overall!",9/12/22 2:03
461,623,3,4,5,4,4,Passive,"I didn't expect this, but, the sketch warmups during Intro to Painting Class really clicked for me, the pacing made complex ideas feel doable; It was useful overall. I didn't expect this, but, the color theory lesson during Intro to Painting Class really clicked for me, there were concrete examples I can reuse at school (snacks were a plus)! From my perspective, I met people who want to collaborate on projects, the sketch warmups during Intro to Painting Class really clicked for me; It was useful overall.",1/13/23 14:28
462,624,4,4,5,5,4.5,Promoter,"There were concrete examples I can reuse at school, the resume clinic during Girls in STEAM Mentoring really clicked for me; I'd come again and bring a classmate next time. — especially for beginners. In my opinion, the networking breakouts during Girls in STEAM Mentoring really clicked for me, the organizers ran things smoothly even with a big crowd; I'd definitely recommend this to a friend. I left with actionable next steps, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me!",4/12/23 6:20
463,625,5,4,4,5,4.5,Promoter,"I met people who want to collaborate on projects, the resume clinic during Mentor Office Hours really clicked for me; This pushed me to apply for a related program. — especially for beginners. The mentor roundtable during Mentor Office Hours really clicked for me, I left with actionable next steps; I'd definitely recommend this to a friend. Overall, the mentor roundtable during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd. Surprisingly, it boosted my confidence more than I expected, the mentor roundtable during Mentor Office Hours really clicked for me.",8/21/23 0:05
464,627,5,5,5,5,5,Promoter,"To be fair, the panel Q&A during Girls in STEAM Mentoring really clicked for me, it boosted my confidence more than I expected; I left energized to keep learning! At first, the organizers ran things smoothly even with a big crowd, the resume clinic during Girls in STEAM Mentoring really clicked for me!",12/25/24 5:14
465,630,5,4,5,4,4.5,Passive,"The pacing made complex ideas feel doable, the goal-setting exercise during Mentor Office Hours really clicked for me — which surprised me in a good way. The pacing made complex ideas feel doable, the goal-setting exercise during Mentor Office Hours really clicked for me — next time I'd bring a friend.",7/28/24 12:19
466,631,5,4,5,4,4.5,Passive,"To be fair, the sketch warmups during Intro to Painting Class really clicked for me, the organizers ran things smoothly even with a big crowd; This pushed me to apply for a related program. In my opinion, the color theory lesson during Intro to Painting Class really clicked for me, the mentors were down-to-earth and answered real questions; I'd definitely recommend this to a friend.",1/16/25 16:28
467,632,5,5,5,4,4.75,Passive,"The Arduino demo during Web Dev Bootcamp Night really clicked for me, the organizers ran things smoothly even with a big crowd; This was absolutely worth the time. (snacks were a plus). The organizers ran things smoothly even with a big crowd, the data activity during Web Dev Bootcamp Night really clicked for me; This pushed me to apply for a related program. (snacks were a plus). At first, I met people who want to collaborate on projects, the coding challenges during Web Dev Bootcamp Night really clicked for me; This was absolutely worth the time.",6/28/25 16:12
468,633,5,5,4,4,4.5,Passive,"I met people who want to collaborate on projects, the Python lab during Data Science Study Group really clicked for me. The mentors were down-to-earth and answered real questions, the coding challenges during Data Science Study Group really clicked for me; This pushed me to apply for a related program.",3/21/24 15:05
469,634,3,5,5,5,4.5,Promoter,"By the end, the organizers ran things smoothly even with a big crowd, the mixed-media project during Monthly Art Studio Workshop really clicked for me! The color theory lesson during Monthly Art Studio Workshop really clicked for me, I met people who want to collaborate on projects.",7/16/25 22:00
470,635,4,5,5,5,4.75,Promoter,"At first, the mentor roundtable during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; I'd come again and bring a classmate next time! It boosted my confidence more than I expected, the panel Q&A during Mentor Office Hours really clicked for me; This pushed me to apply for a related program!",9/23/25 1:14
471,636,4,4,4,5,4.25,Promoter,"The watercolor session during Intro to Painting Class really clicked for me, I left with actionable next steps; I'd attend again with a clearer agenda! To be fair, the watercolor session during Intro to Painting Class really clicked for me, the organizers ran things smoothly even with a big crowd! The mixed-media project during Intro to Painting Class really clicked for me, the pacing made complex ideas feel doable; I'm curious to see how the next session improves.",12/30/22 7:16
472,638,5,4,4,5,4.5,Promoter,"There were concrete examples I can reuse at school, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me — which surprised me in a good way! The resume clinic during Girls in STEAM Mentoring really clicked for me, there were concrete examples I can reuse at school; I'd definitely recommend this to a friend. Honestly, the networking breakouts during Girls in STEAM Mentoring really clicked for me, there were concrete examples I can reuse at school. Honestly, the pacing made complex ideas feel doable, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me!",10/29/25 4:09
473,639,5,4,4,5,4.5,Promoter,"I didn't expect this, but, the pacing made complex ideas feel doable, the panel Q&A during Mentor Office Hours really clicked for me; This was absolutely worth the time. The mentors were down-to-earth and answered real questions, the panel Q&A during Mentor Office Hours really clicked for me; I left energized to keep learning. (snacks were a plus). To be fair, there were concrete examples I can reuse at school, the resume clinic during Mentor Office Hours really clicked for me.",7/25/22 4:03
